3433 Binding energies from the Atomic Mass Evaluation of 2016
# Electronic correction:  Be(Z) = 1.44381E-5*Z**2.39 + 1.55468E-12*Z**5.35 MeV            
# Num Nuc  A   N   Z        E        E/A     dE     Eval    S1n     dS1n  Eval    S1p     dS1p  Eval    S2n     dS2n  Eval    S2p     dS2p  Eval
    1  H   2   1   1    -2.224552 -1.112276 0.000001  0  0.000001 0.000001  0  0.000001 0.000001  0  0.000001 0.000001  0  0.000001 0.000001  0
    2  H   3   2   1    -8.481781 -2.827260 0.000001  0  6.257229 0.000001  0  0.000001 0.000001  0  0.000001 0.000001  0  0.000001 0.000001  0
    3  H   4   3   1    -6.881782 -1.720445 0.100000  0 -1.599999 0.100000  0  0.000001 0.000001  0  4.657230 0.100000  0  0.000001 0.000001  0
    4  H   5   4   1    -6.681781 -1.336356 0.089445  0 -0.200001 0.189445  0  0.000001 0.000001  0 -1.800000 0.089445  0  0.000001 0.000001  0
    5  H   6   5   1    -5.769820 -0.961637 0.254124  0 -0.911961 0.343569  0  0.000001 0.000001  0 -1.111962 0.354124  0  0.000001 0.000001  0
    6  H   7   6   1    -6.579986 -0.939998 1.001000  1  0.810166 1.255124  1  0.000001 0.000001  0 -0.101795 1.090445  1  0.000001 0.000001  0
    7 He   3   1   2    -7.717964 -2.572655 0.000001  0  0.000001 0.000001  0  5.493413 0.000001  0  0.000001 0.000001  0  0.000001 0.000001  0
    8 He   4   2   2   -28.295584 -7.073896 0.000001  0 20.577620 0.000001  0 19.813804 0.000001  0  0.000001 0.000001  0  0.000001 0.000001  0
    9 He   5   3   2   -27.560584 -5.512117 0.020000  0 -0.735000 0.020000  0 20.678803 0.120000  0 19.842620 0.020000  0  0.000001 0.000001  0
   10 He   6   4   2   -29.271038 -4.878506 0.000054  0  1.710454 0.020054  0 22.589258 0.089499  0  0.975454 0.000054  0  0.000001 0.000001  0
   11 He   7   5   2   -28.861323 -4.123046 0.007560  0 -0.409715 0.007614  0 23.091504 0.261684  0  1.300739 0.027560  0  0.000001 0.000001  0
   12 He   8   6   2   -31.396084 -3.924511 0.000088  0  2.534761 0.007648  0 24.816099 1.001088  1  2.125046 0.000142  0  0.000001 0.000001  0
   13 He   9   7   2   -30.141257 -3.349029 0.046818  0 -1.254827 0.046906  0  0.000001 0.000001  0  1.279934 0.054378  0  0.000001 0.000001  0
   14 He  10   8   2   -29.951264 -2.995126 0.092850  0 -0.189993 0.139668  0  0.000001 0.000001  0 -1.444820 0.092938  0  0.000001 0.000001  0
   15 Li   4   1   3    -4.614841 -1.153710 0.212132  0  0.000001 0.000001  0 -3.103124 0.212132  0  0.000001 0.000001  0  2.390289 0.212132  0
   16 Li   5   2   3   -26.330461 -5.266092 0.050000  0 21.715620 0.262132  0 -1.965124 0.050000  0  0.000001 0.000001  0 17.848680 0.050000  0
   17 Li   6   3   3   -31.993787 -5.332298 0.000001  0  5.663326 0.050000  0  4.433202 0.020000  0 27.378946 0.212132  0 25.112005 0.100000  0
   18 Li   7   4   3   -39.244874 -5.606411 0.000007  0  7.251087 0.000007  0  9.973835 0.000061  0 12.914413 0.050007  0 32.563093 0.089452  0
   19 Li   8   5   3   -41.277497 -5.159687 0.000048  0  2.032623 0.000055  0 12.416173 0.007608  0  9.283710 0.000048  0 35.507677 0.254172  0
   20 Li   9   6   3   -45.339713 -5.037746 0.000189  0  4.062216 0.000237  0 13.943628 0.000277  0  6.094839 0.000196  0 38.759727 1.001189  1
   21 Li  10   7   3   -45.313311 -4.531331 0.012720  0 -0.026402 0.012909  0 15.172053 0.059538  0  4.035814 0.012768  0  0.000001 0.000001  0
   22 Li  11   8   3   -45.708992 -4.155363 0.000616  0  0.395681 0.013336  0 15.757727 0.093466  0  0.369279 0.000805  0  0.000001 0.000001  0
   23 Li  12   9   3   -45.499001 -3.791583 0.030012  0 -0.209991 0.030628  0  0.000001 0.000001  0  0.185690 0.042732  0  0.000001 0.000001  0
   24 Li  13  10   3   -45.598991 -3.507615 0.070005  0  0.099990 0.100017  0  0.000001 0.000001  0 -0.110001 0.070621  0  0.000001 0.000001  0
   25 Be   5   1   4    -0.089603 -0.017921 2.005000  1  0.000001 0.000001  0 -4.525237 2.217132  1  0.000001 0.000001  0 -7.628361 2.005000  1
   26 Be   6   2   4   -26.923085 -4.487181 0.005448  0 26.833482 2.010448  1  0.592625 0.055448  0  0.000001 0.000001  0 -1.372499 0.005448  0
   27 Be   7   3   4   -37.600439 -5.371491 0.000070  0 10.677354 0.005518  0  5.606653 0.000070  0 37.510836 2.005070  1 10.039855 0.020070  0
   28 Be   8   4   4   -56.499083 -7.062385 0.000032  0 18.898644 0.000102  0 17.254210 0.000039  0 29.575998 0.005480  0 27.228045 0.000086  0
