                 num_protons pos_neutron_stable_isotopes            pos_neutron_drip
           1           2           2
           2           2           2
           3           4           4
           4           4           6
           5           6           8
           6           6          10
           7           8          12
           8           8          14
           9          10          14
          10          12          16
          11          12          18
          12          14          20
          13          14          22
          14          16          24
          15          18          26
          16          18          28
          17          20          32
          18          20          34
          19          22          36
          20          24          38
          21          24          40
          22          26          42
          23          28          44
          24          28          46
          25          30          48
          26          30          50
          27          32          52
          28          34          54
          29          34          56
          30          36          58
          31          38          60
          32          38          64
          33          40          66
          34          42          68
          35          42          70
          36          44          72
          37          46          74
          38          46          76
          39          48          78
          40          50          82
          41          52          84
          42          52          86
          43          54          88
          44          56          90
          45          56          92
          46          58          94
          47          60          98
          48          60         100
          49          62         102
          50          64         104
          51          66         106
          52          66         108
          53          68         110
          54          70         114
          55          72         116
          56          72         118
          57          74         120
          58          76         122
          59          78         124
          60          78         128
          61          80         130
          62          82         132
          63          84         134
          64          84         136
          65          86         140
          66          88         142
          67          90         144
          68          90         146
          69          92         148
          70          94         152
          71          96         154
          72          98         156
          73          98         158
          74         100         160
          75         102         164
          76         104         166
          77         106         168
          78         106         170
          79         108         172
          80         110         176
          81         112         178
          82         114         180
          83         114         182
          84         116         186
          85         118         188
          86         120         190
          87         122         192
          88         122         194
          89         124         198
          90         126         200
          91         128         202
          92         130         204
          93         132         208
          94         134         210
          95         134         212
          96         136         214
          97         138         218
          98         140         220
          99         142         222
         100         144         224
         101         146         228
         102         146         230
         103         148         232
         104         150         234
         105         152         238
         106         154         240
         107         156         242
         108         158         244
         109         160         248
         110         160         250
         111         162         252
         112         164         256
         113         166         258
         114         168         260
         115         170         262
         116         172         266
         117         174         268
         118         176         270
